"location","cause","sex","IRadjust","CFadjust","CFAARC"
"Botswana","hstroke","Male",0.8,0.8,1.01
"Botswana","ihd","Female",0.8,0.8,1
"Botswana","ihd","Male",0.85,0.8,1
"Botswana","istroke","Female",0.8,0.7,0.99
"Botswana","istroke","Male",0.8,0.7,1
"Brazil","hhd","Female",0.85,0.85,1.02
"Brazil","hhd","Male",0.85,0.85,1.02
"Brazil","hstroke","Female",0.85,0.8,0.99
"Brazil","hstroke","Male",0.8,0.85,0.99
"Brazil","ihd","Female",0.85,0.85,0.98
"Brazil","ihd","Male",0.85,0.85,0.99
"Brazil","istroke","Female",0.9,0.8,0.97
"Brazil","istroke","Male",0.85,0.8,0.98
"Brunei","hhd","Female",0.7,0.9,1.02
"Brunei","hhd","Male",0.7,0.9,0.99
"Brunei","hstroke","Female",0.7,0.75,0.98
"Brunei","hstroke","Male",0.7,0.75,0.96
"Brunei","ihd","Female",0.7,0.85,0.97
"Brunei","ihd","Male",0.7,0.9,0.96
"Brunei","istroke","Female",0.7,0.7,0.99
"Brunei","istroke","Male",0.7,0.8,0.96
"Bulgaria","hhd","Female",0.8,0.85,1.02
"Bulgaria","hhd","Male",0.9,0.9,1.02
"Bulgaria","hstroke","Female",0.7,0.85,1.02
"Bulgaria","hstroke","Male",0.8,0.9,0.98
"Bulgaria","ihd","Female",0.75,0.75,0.98
"Bulgaria","ihd","Male",0.8,0.75,0.99
"Bulgaria","istroke","Female",0.8,0.7,0.95
"Bulgaria","istroke","Male",0.85,0.8,0.95
"Burkina Faso","hhd","Female",0.85,0.95,1.01
"Burkina Faso","hhd","Male",0.9,0.95,1.02
"Burkina Faso","hstroke","Female",0.85,0.9,0.97
"Burkina Faso","hstroke","Male",0.9,0.9,1
"Burkina Faso","ihd","Female",0.85,0.85,1
"Burkina Faso","ihd","Male",0.9,0.85,1.02
"Burkina Faso","istroke","Female",0.9,0.8,0.97
"Burkina Faso","istroke","Male",0.95,0.8,1.01
"Burundi","hhd","Female",0.85,0.9,0.99
"Burundi","hhd","Male",1,1,1
"Burundi","hstroke","Female",0.8,0.9,0.99
"Burundi","hstroke","Male",0.9,0.95,1.01
"Burundi","ihd","Female",0.85,0.9,0.99
"Burundi","ihd","Male",1,1,0.99
"Burundi","istroke","Female",0.85,0.95,0.97
"Burundi","istroke","Male",0.95,0.7,1
"Cambodia","hhd","Female",0.95,0.95,1
"Cambodia","hhd","Male",0.95,0.85,1.01
"Cambodia","hstroke","Female",0.85,0.95,0.96
"Cambodia","hstroke","Male",0.85,0.9,0.98
"Cambodia","ihd","Female",0.9,0.9,0.99
"Cambodia","ihd","Male",0.95,0.95,0.99
"Cambodia","istroke","Female",0.9,0.8,0.98
"Cambodia","istroke","Male",0.95,0.85,0.97
"Cameroon","hhd","Female",0.9,0.85,0.98
"Cameroon","hhd","Male",0.95,0.85,0.99
"Cameroon","hstroke","Female",0.8,0.85,0.96
"Cameroon","hstroke","Male",0.85,0.85,0.98
"Cameroon","ihd","Female",0.85,0.85,0.97
"Cameroon","ihd","Male",0.9,0.85,0.98
"Cameroon","istroke","Female",0.9,0.8,0.96
"Cameroon","istroke","Male",0.9,0.75,0.98
"Canada","hhd","Female",0.9,0.95,1.02
"Canada","hhd","Male",0.9,0.95,1.02
"Canada","hstroke","Female",0.85,0.85,0.98
"Canada","hstroke","Male",0.85,0.8,0.97
"Canada","ihd","Female",0.85,0.8,0.99
"Canada","ihd","Male",0.85,0.8,0.99
"Canada","istroke","Female",0.9,0.8,0.97
"Canada","istroke","Male",0.9,0.7,0.97
"Cape Verde","hhd","Female",0.9,0.95,0.99
"Cape Verde","hhd","Male",0.85,0.95,0.96
"Cape Verde","hstroke","Female",0.75,0.95,0.95
"Cape Verde","hstroke","Male",0.75,0.95,0.95
"Cape Verde","ihd","Female",0.85,0.9,0.99
"Cape Verde","ihd","Male",0.85,0.95,0.97
"Cape Verde","istroke","Female",0.7,0.95,1
"Cape Verde","istroke","Male",0.7,0.95,0.98
"Central African Republic","hhd","Female",0.85,0.95,0.95
"Central African Republic","hhd","Male",0.8,0.9,1.02
"Central African Republic","hstroke","Female",0.85,0.9,0.97
"Central African Republic","hstroke","Male",0.8,0.85,1.01
"Central African Republic","ihd","Female",0.9,0.95,0.97
"Central African Republic","ihd","Male",0.85,0.95,0.99
"Central African Republic","istroke","Female",0.9,0.9,0.95
"Central African Republic","istroke","Male",0.85,0.85,0.97
"Chad","hhd","Female",0.8,0.9,0.99
"Chad","hhd","Male",0.95,0.9,1.02
"Chad","hstroke","Female",0.8,0.9,0.98
"Chad","hstroke","Male",0.85,0.85,1.02
"Chad","ihd","Female",0.8,0.9,1
"Chad","ihd","Male",0.95,0.85,1.01
"Chad","istroke","Female",0.8,0.9,0.98
"Chad","istroke","Male",0.95,0.75,1.01
"Chile","hhd","Female",0.85,0.85,1.01
"Chile","hhd","Male",0.9,0.95,1
"Chile","hstroke","Female",0.8,0.8,0.96
"Chile","hstroke","Male",0.8,0.85,0.96
"Chile","ihd","Female",0.8,0.75,0.98
"Chile","ihd","Male",0.85,0.85,0.98
"Chile","istroke","Female",0.8,0.7,0.96
"Chile","istroke","Male",0.8,0.8,0.95
"China","hhd","Female",0.85,0.85,1.01
"China","hhd","Male",0.85,0.85,0.99
"China","hstroke","Female",0.7,0.9,0.95
"China","hstroke","Male",0.7,0.85,0.95
"China","ihd","Female",0.8,0.8,0.96
"China","ihd","Male",0.75,0.75,0.97
"China","istroke","Female",0.85,0.7,0.97
"China","istroke","Male",0.85,0.7,0.95
"Colombia","hhd","Female",0.85,0.9,1.02
"Colombia","hhd","Male",0.85,0.85,1.02
"Colombia","hstroke","Female",0.75,0.8,1.01
"Colombia","hstroke","Male",0.7,0.8,1.01
"Colombia","ihd","Female",0.8,0.85,1
"Colombia","ihd","Male",0.75,0.8,1
"Colombia","istroke","Female",0.85,0.85,1
"Colombia","istroke","Male",0.8,0.85,1
"Comoros","hhd","Female",1,1,1.02
"Comoros","hhd","Male",0.95,0.9,1.01
"Comoros","hstroke","Female",0.85,0.95,1.02
"Comoros","hstroke","Male",0.85,0.95,1.01
"Comoros","ihd","Female",1,1,0.99
"Comoros","ihd","Male",0.95,0.95,1
"Comoros","istroke","Female",1,1,0.99
"Comoros","istroke","Male",0.95,0.9,1
"Congo","hhd","Female",0.85,0.9,0.98
"Congo","hhd","Male",0.9,0.95,0.99
"Congo","hstroke","Female",0.85,0.85,0.96
"Congo","hstroke","Male",0.9,0.9,0.97
"Congo","ihd","Female",0.85,0.85,0.97
"Congo","ihd","Male",0.9,0.9,0.98
"Congo","istroke","Female",0.9,0.8,0.96
"Congo","istroke","Male",0.95,0.85,0.97
"Costa Rica","hhd","Female",0.85,0.85,1.02
"Costa Rica","hhd","Male",0.85,0.85,1.02
"Costa Rica","hstroke","Female",0.9,0.85,0.97
"Costa Rica","hstroke","Male",0.85,0.85,0.98
"Costa Rica","ihd","Female",0.85,0.85,0.99
"Costa Rica","ihd","Male",0.85,0.95,0.99
"Costa Rica","istroke","Female",0.95,0.95,0.97
"Costa Rica","istroke","Male",0.9,0.9,0.97
"Cote d'Ivoire","hhd","Female",0.8,0.95,0.98
"Cote d'Ivoire","hhd","Male",0.85,0.9,0.99
"Cote d'Ivoire","hstroke","Female",0.7,0.85,0.97
"Cote d'Ivoire","hstroke","Male",0.75,0.85,0.97
"Cote d'Ivoire","ihd","Female",0.75,0.9,0.98
"Cote d'Ivoire","ihd","Male",0.8,0.85,0.98
"Cote d'Ivoire","istroke","Female",0.7,0.85,0.97
"Cote d'Ivoire","istroke","Male",0.8,0.8,0.97
"Croatia","hhd","Female",0.75,0.75,1.02
"Croatia","hhd","Male",0.8,0.8,1.02
"Croatia","hstroke","Female",0.7,0.85,0.95
"Croatia","hstroke","Male",0.7,0.8,0.95
"Croatia","ihd","Female",0.7,0.7,0.96
"Croatia","ihd","Male",0.75,0.75,0.96
"Croatia","istroke","Female",0.7,0.7,0.96
"Croatia","istroke","Male",0.7,0.7,0.96
"Cuba","hhd","Female",0.9,0.95,1
"Cuba","hhd","Male",0.9,0.95,1
"Cuba","hstroke","Female",0.8,0.85,0.97
"Cuba","hstroke","Male",0.8,0.85,0.98
"Cuba","ihd","Female",0.85,0.85,0.99
"Cuba","ihd","Male",0.85,0.95,0.99
"Cuba","istroke","Female",0.85,0.85,0.96
"Cuba","istroke","Male",0.85,0.85,0.96
"Cyprus","hhd","Female",0.7,0.7,1.02
"Cyprus","hhd","Male",0.75,0.7,0.99
"Cyprus","hstroke","Female",0.8,0.7,0.95
"Cyprus","hstroke","Male",0.75,0.7,0.95
"Cyprus","ihd","Female",0.8,0.7,0.95
"Cyprus","ihd","Male",0.85,0.7,0.95
"Cyprus","istroke","Female",0.8,0.7,0.95
"Cyprus","istroke","Male",0.8,0.7,0.95
"Czech Republic","hhd","Female",0.95,0.95,1.02
"Czech Republic","hhd","Male",0.95,0.95,1.01
"Czech Republic","hstroke","Female",0.8,0.8,0.97
"Czech Republic","hstroke","Male",0.75,0.75,0.98
"Czech Republic","ihd","Female",0.75,0.75,0.97
"Czech Republic","ihd","Male",0.75,0.75,0.97
"Czech Republic","istroke","Female",0.75,0.7,0.99
"Czech Republic","istroke","Male",0.75,0.7,0.98
"Democratic Republic of the Congo","hhd","Female",0.85,0.95,0.97
"Democratic Republic of the Congo","hhd","Male",0.8,0.9,1.01
"Democratic Republic of the Congo","hstroke","Female",0.8,0.9,0.98
"Democratic Republic of the Congo","hstroke","Male",0.8,0.85,0.98
"Democratic Republic of the Congo","ihd","Female",0.85,0.9,0.99
"Democratic Republic of the Congo","ihd","Male",0.85,0.9,0.99
"Democratic Republic of the Congo","istroke","Female",0.85,0.8,0.97
"Democratic Republic of the Congo","istroke","Male",0.85,0.8,0.97
"Denmark","hhd","Female",0.9,0.95,1.02
"Denmark","hhd","Male",0.75,0.85,1.02
"Denmark","hstroke","Female",0.75,0.85,0.98
"Denmark","hstroke","Male",0.75,0.85,0.96
"Denmark","ihd","Female",0.8,0.8,0.99
"Denmark","ihd","Male",0.8,0.7,0.99
"Denmark","istroke","Female",0.8,0.85,0.98
"Denmark","istroke","Male",0.7,0.75,0.97
"Djibouti","hhd","Female",0.85,0.9,1
"Djibouti","hhd","Male",0.9,0.9,1
"Djibouti","hstroke","Female",0.85,0.8,0.96
"Djibouti","hstroke","Male",0.9,0.85,0.97
"Djibouti","ihd","Female",0.9,0.95,0.97
"Djibouti","ihd","Male",0.9,0.9,0.98
"Djibouti","istroke","Female",0.95,0.85,0.96
"Djibouti","istroke","Male",0.95,0.8,0.97
"Dominican Republic","hhd","Female",0.85,0.95,1
"Dominican Republic","hhd","Male",0.85,0.95,1.02
"Dominican Republic","hstroke","Female",0.85,0.9,0.96
"Dominican Republic","hstroke","Male",0.9,0.95,0.95
"Dominican Republic","ihd","Female",0.8,0.9,0.98
"Dominican Republic","ihd","Male",0.8,0.95,0.99
"Dominican Republic","istroke","Female",0.85,0.85,0.96
"Dominican Republic","istroke","Male",0.85,0.85,0.97
"Ecuador","hhd","Female",0.75,0.75,1.01
"Ecuador","hhd","Male",0.8,0.75,1
"Ecuador","hstroke","Female",0.85,0.8,0.98
"Ecuador","hstroke","Male",0.85,0.85,0.99
"Ecuador","ihd","Female",0.8,0.8,0.99
"Ecuador","ihd","Male",0.85,0.85,0.99
"Ecuador","istroke","Female",0.85,0.7,0.98
"Ecuador","istroke","Male",0.85,0.75,0.98
"Egypt","hhd","Female",0.8,0.85,0.98
"Egypt","hhd","Male",1,1,0.99
"Egypt","hstroke","Female",0.8,0.9,0.96
"Egypt","hstroke","Male",0.9,0.95,0.98
"Egypt","ihd","Female",0.75,0.9,0.96
"Egypt","ihd","Male",0.9,0.95,0.98
"Egypt","istroke","Female",0.8,0.8,0.97
"Egypt","istroke","Male",0.95,0.9,0.97
"El Salvador","hhd","Female",0.95,0.95,1.02
"El Salvador","hhd","Male",0.95,0.9,1.02
"El Salvador","hstroke","Female",0.9,0.95,0.97
"El Salvador","hstroke","Male",0.85,0.9,0.99
"El Salvador","ihd","Female",0.9,0.95,0.98
"El Salvador","ihd","Male",0.85,0.9,0.99
"El Salvador","istroke","Female",0.9,0.95,0.98
"El Salvador","istroke","Male",0.9,0.9,0.99
"Equatorial Guinea","hhd","Female",0.85,0.9,1.02
"Equatorial Guinea","hhd","Male",0.85,0.9,1
"Equatorial Guinea","hstroke","Female",0.85,0.85,0.96
"Equatorial Guinea","hstroke","Male",0.9,0.9,0.95
"Equatorial Guinea","ihd","Female",0.9,0.9,0.97
"Equatorial Guinea","ihd","Male",0.9,0.95,0.97
"Equatorial Guinea","istroke","Female",0.95,0.9,0.98
"Equatorial Guinea","istroke","Male",0.9,0.8,0.98
"Eritrea","hhd","Female",0.9,0.95,0.99
"Eritrea","hhd","Male",1,1,0.99
"Eritrea","hstroke","Female",0.9,0.95,0.97
"Eritrea","hstroke","Male",1,1,0.97
"Eritrea","ihd","Female",0.95,0.95,0.98
"Eritrea","ihd","Male",1,1,0.99
"Eritrea","istroke","Female",1,1,0.96
"Eritrea","istroke","Male",1,1,0.97
"Estonia","hhd","Female",0.9,0.95,0.95
"Estonia","hhd","Male",0.85,0.95,0.95
"Estonia","hstroke","Female",0.7,0.7,1.02
"Estonia","hstroke","Male",0.7,0.85,0.98
"Estonia","ihd","Female",0.7,0.7,0.98
"Estonia","ihd","Male",0.7,0.7,0.97
"Estonia","istroke","Female",0.7,0.7,1.01
"Estonia","istroke","Male",0.7,0.7,0.97
"Ethiopia","hhd","Female",0.8,0.85,0.97
"Ethiopia","hhd","Male",0.85,0.85,0.99
"Ethiopia","hstroke","Female",0.75,0.95,0.95
"Ethiopia","hstroke","Male",0.75,0.9,0.99
"Ethiopia","ihd","Female",0.85,0.9,0.97
"Ethiopia","ihd","Male",0.9,0.9,0.98
"Ethiopia","istroke","Female",0.8,0.9,0.96
"Ethiopia","istroke","Male",0.85,0.85,0.98
"Federated States of Micronesia","hhd","Female",0.8,0.95,1
"Federated States of Micronesia","hhd","Male",0.8,0.95,1.01
"Federated States of Micronesia","hstroke","Female",0.75,0.9,0.96
"Federated States of Micronesia","hstroke","Male",0.75,0.85,0.98
"Federated States of Micronesia","ihd","Female",0.75,0.9,0.97
"Federated States of Micronesia","ihd","Male",0.75,0.95,0.99
"Federated States of Micronesia","istroke","Female",0.75,0.9,0.96
"Federated States of Micronesia","istroke","Male",0.75,0.85,0.96
"Fiji","hhd","Female",0.8,0.9,0.99
"Fiji","hhd","Male",0.75,0.9,1
"Fiji","hstroke","Female",0.7,0.85,0.95
"Fiji","hstroke","Male",0.75,0.85,0.95
"Fiji","ihd","Female",0.75,0.9,0.96
"Fiji","ihd","Male",0.7,0.9,0.96
"Fiji","istroke","Female",0.75,0.85,0.96
"Fiji","istroke","Male",0.75,0.85,0.95
"Finland","hhd","Female",0.9,0.95,1.02
"Finland","hhd","Male",0.9,0.9,1.01
"Finland","hstroke","Female",0.75,0.9,0.99
"Finland","hstroke","Male",0.8,0.9,0.96
"Finland","ihd","Female",0.8,0.75,0.98
"Finland","ihd","Male",0.8,0.8,0.97
"Finland","istroke","Female",0.8,0.8,0.98
"Finland","istroke","Male",0.75,0.8,0.98
"France","hhd","Female",0.85,0.9,1.02
"France","hhd","Male",0.8,0.8,1.02
"France","hstroke","Female",0.75,0.8,0.97
"France","hstroke","Male",0.75,0.8,0.95
"France","ihd","Female",0.85,0.75,0.98
"France","ihd","Male",0.8,0.7,0.98
"France","istroke","Female",0.8,0.75,0.98
"France","istroke","Male",0.75,0.7,0.97
"Gabon","hhd","Female",0.8,0.85,1
"Gabon","hhd","Male",0.8,0.9,1.01
"Gabon","hstroke","Female",0.8,0.85,0.97
"Gabon","hstroke","Male",0.8,0.85,0.98
"Gabon","ihd","Female",0.8,0.8,0.97
"Gabon","ihd","Male",0.8,0.9,0.99
"Gabon","istroke","Female",0.85,0.85,0.96
"Gabon","istroke","Male",0.8,0.8,0.98
"Georgia","hhd","Female",0.9,0.95,0.98
"Georgia","hhd","Male",0.85,0.95,0.98
"Georgia","hstroke","Female",0.7,0.9,1.02
"Georgia","hstroke","Male",0.7,0.9,1.02
"Georgia","ihd","Female",0.8,0.85,0.99
"Georgia","ihd","Male",0.75,0.85,0.99
"Georgia","istroke","Female",0.85,0.9,0.95
"Georgia","istroke","Male",0.85,0.9,0.95
"Germany","hhd","Female",0.85,0.85,1.02
"Germany","hhd","Male",0.8,0.8,1
"Germany","hstroke","Female",0.8,0.8,0.97
"Germany","hstroke","Male",0.75,0.8,0.97
"Germany","ihd","Female",0.8,0.75,0.97
"Germany","ihd","Male",0.75,0.7,0.98
"Germany","istroke","Female",0.8,0.75,0.99
"Germany","istroke","Male",0.75,0.75,0.97
"Ghana","hhd","Female",0.85,0.9,1.02
"Ghana","hhd","Male",0.85,0.9,1.01
"Ghana","hstroke","Female",0.85,0.9,0.97
"Ghana","hstroke","Male",0.8,0.85,0.98
"Ghana","ihd","Female",0.85,0.9,0.98
"Ghana","ihd","Male",0.85,0.85,0.99
"Ghana","istroke","Female",0.9,0.85,0.96
"Ghana","istroke","Male",0.8,0.75,0.99
