"sex","location","cause","IRadjust","CFadjust"
"Male","Tanzania","hstroke",0.8,0.8
"Male","Tanzania","ihd",0.85,0.85
"Male","Tanzania","istroke",0.85,0.8
"Female","Thailand","hhd",0.95,0.9
"Female","Thailand","hstroke",0.75,0.75
"Female","Thailand","ihd",0.85,0.8
"Female","Thailand","istroke",0.85,0.75
"Male","Thailand","hhd",0.95,0.95
"Male","Thailand","hstroke",0.85,0.85
"Male","Thailand","ihd",0.9,0.95
"Male","Thailand","istroke",0.9,0.85
"Female","The Bahamas","hhd",0.8,0.9
"Female","The Bahamas","hstroke",0.85,0.9
"Female","The Bahamas","ihd",0.8,0.85
"Female","The Bahamas","istroke",0.8,0.8
"Male","The Bahamas","hhd",0.8,0.9
"Male","The Bahamas","hstroke",0.8,0.85
"Male","The Bahamas","ihd",0.8,0.9
"Male","The Bahamas","istroke",0.8,0.8
"Female","The Gambia","hhd",0.9,0.9
"Female","The Gambia","hstroke",0.85,0.95
"Female","The Gambia","ihd",0.9,0.95
"Female","The Gambia","istroke",0.85,0.8
"Male","The Gambia","hhd",0.9,0.9
"Male","The Gambia","hstroke",0.85,0.9
"Male","The Gambia","ihd",0.9,0.95
"Male","The Gambia","istroke",0.85,0.8
"Female","Timor-Leste","hhd",0.8,0.9
"Female","Timor-Leste","hstroke",0.8,0.85
"Female","Timor-Leste","ihd",0.8,0.9
"Female","Timor-Leste","istroke",0.8,0.8
"Male","Timor-Leste","hhd",0.9,0.95
"Male","Timor-Leste","hstroke",0.9,0.95
"Male","Timor-Leste","ihd",0.85,0.95
"Male","Timor-Leste","istroke",0.85,0.85
"Female","Togo","hhd",0.9,0.95
"Female","Togo","hstroke",0.85,0.85
"Female","Togo","ihd",0.9,0.95
"Female","Togo","istroke",0.9,0.8
"Male","Togo","hhd",0.9,0.95
"Male","Togo","hstroke",0.8,0.85
"Male","Togo","ihd",0.85,0.9
"Male","Togo","istroke",0.85,0.8
"Female","Tonga","hhd",0.8,0.95
"Female","Tonga","hstroke",0.7,0.95
"Female","Tonga","ihd",0.75,0.95
"Female","Tonga","istroke",0.7,0.95
"Male","Tonga","hhd",0.8,0.85
"Male","Tonga","hstroke",0.7,0.9
"Male","Tonga","ihd",0.7,0.9
"Male","Tonga","istroke",0.7,0.85
"Female","Trinidad and Tobago","hhd",0.9,0.95
"Female","Trinidad and Tobago","hstroke",0.8,0.85
"Female","Trinidad and Tobago","ihd",0.85,0.9
"Female","Trinidad and Tobago","istroke",0.85,0.8
"Male","Trinidad and Tobago","hhd",0.9,0.95
"Male","Trinidad and Tobago","hstroke",0.8,0.85
"Male","Trinidad and Tobago","ihd",0.85,0.95
"Male","Trinidad and Tobago","istroke",0.85,0.85
"Female","Tunisia","hhd",0.85,0.85
"Female","Tunisia","hstroke",0.8,0.8
"Female","Tunisia","ihd",0.75,0.8
"Female","Tunisia","istroke",0.8,0.75
"Male","Tunisia","hhd",0.9,0.85
"Male","Tunisia","hstroke",0.8,0.85
"Male","Tunisia","ihd",0.8,0.85
"Male","Tunisia","istroke",0.8,0.7
"Female","Turkey","hhd",0.8,0.8
"Female","Turkey","hstroke",0.8,0.75
"Female","Turkey","ihd",0.75,0.85
"Female","Turkey","istroke",0.8,0.75
"Male","Turkey","hhd",0.85,0.9
"Male","Turkey","hstroke",0.85,0.8
"Male","Turkey","ihd",0.8,0.9
"Male","Turkey","istroke",0.85,0.8
"Female","Turkmenistan","hhd",0.8,0.9
"Female","Turkmenistan","hstroke",0.75,0.85
"Female","Turkmenistan","ihd",0.7,0.85
"Female","Turkmenistan","istroke",0.75,0.8
"Male","Turkmenistan","hhd",0.8,0.85
"Male","Turkmenistan","hstroke",0.8,0.9
"Male","Turkmenistan","ihd",0.7,0.85
"Male","Turkmenistan","istroke",0.8,0.85
"Female","Uganda","hhd",0.9,0.95
"Female","Uganda","hstroke",0.85,0.95
"Female","Uganda","ihd",0.9,0.9
"Female","Uganda","istroke",0.85,0.95
"Male","Uganda","hhd",0.85,0.9
"Male","Uganda","hstroke",0.8,0.95
"Male","Uganda","ihd",0.85,0.85
"Male","Uganda","istroke",0.8,0.9
"Female","Ukraine","hhd",0.8,0.85
"Female","Ukraine","hstroke",0.75,0.8
"Female","Ukraine","ihd",0.7,0.85
"Female","Ukraine","istroke",0.75,0.7
"Male","Ukraine","hhd",0.9,0.95
"Male","Ukraine","hstroke",0.85,0.9
"Male","Ukraine","ihd",0.7,0.85
"Male","Ukraine","istroke",0.75,0.7
"Female","United Arab Emirates","hhd",0.75,0.7
"Female","United Arab Emirates","hstroke",0.8,0.8
"Female","United Arab Emirates","ihd",0.75,0.7
"Female","United Arab Emirates","istroke",0.8,0.75
"Male","United Arab Emirates","hhd",0.75,0.95
"Male","United Arab Emirates","hstroke",0.75,0.9
"Male","United Arab Emirates","ihd",0.7,0.9
"Male","United Arab Emirates","istroke",0.7,0.85
"Female","United Kingdom","hhd",0.9,0.9
"Female","United Kingdom","hstroke",0.85,0.85
"Female","United Kingdom","ihd",0.85,0.8
"Female","United Kingdom","istroke",0.8,0.75
"Male","United Kingdom","hhd",0.9,0.95
"Male","United Kingdom","hstroke",0.8,0.85
"Male","United Kingdom","ihd",0.8,0.75
"Male","United Kingdom","istroke",0.75,0.75
"Female","United States","hhd",0.95,0.95
"Female","United States","hstroke",0.8,0.95
"Female","United States","ihd",0.9,0.9
"Female","United States","istroke",0.95,0.85
"Male","United States","hhd",0.9,0.95
"Male","United States","hstroke",0.85,0.85
"Male","United States","ihd",0.85,0.9
"Male","United States","istroke",0.8,0.85
"Female","Uruguay","hhd",0.9,0.85
"Female","Uruguay","hstroke",0.75,0.8
"Female","Uruguay","ihd",0.85,0.85
"Female","Uruguay","istroke",0.8,0.75
"Male","Uruguay","hhd",0.9,0.9
"Male","Uruguay","hstroke",0.7,0.8
"Male","Uruguay","ihd",0.85,0.85
"Male","Uruguay","istroke",0.8,0.75
"Female","Uzbekistan","hhd",0.7,0.8
"Female","Uzbekistan","hstroke",0.7,0.8
"Female","Uzbekistan","ihd",0.7,0.9
"Female","Uzbekistan","istroke",0.75,0.7
"Male","Uzbekistan","hhd",0.75,0.85
"Male","Uzbekistan","hstroke",0.7,0.75
"Male","Uzbekistan","ihd",0.7,0.9
"Male","Uzbekistan","istroke",0.7,0.7
"Female","Vanuatu","hhd",0.9,0.95
"Female","Vanuatu","hstroke",0.8,0.9
"Female","Vanuatu","ihd",0.85,0.95
"Female","Vanuatu","istroke",0.9,0.9
"Male","Vanuatu","hhd",0.95,0.8
"Male","Vanuatu","hstroke",0.9,0.9
"Male","Vanuatu","ihd",0.95,0.95
"Male","Vanuatu","istroke",0.95,0.7
"Female","Venezuela","hhd",0.9,0.9
"Female","Venezuela","hstroke",0.9,0.9
"Female","Venezuela","ihd",0.9,0.95
"Female","Venezuela","istroke",0.9,0.95
"Male","Venezuela","hhd",0.9,0.85
"Male","Venezuela","hstroke",0.85,0.9
"Male","Venezuela","ihd",0.85,0.9
"Male","Venezuela","istroke",0.85,0.8
"Female","Vietnam","hhd",0.85,0.8
"Female","Vietnam","hstroke",0.75,0.85
"Female","Vietnam","ihd",0.8,0.8
"Female","Vietnam","istroke",0.8,0.7
"Male","Vietnam","hhd",0.9,0.9
"Male","Vietnam","hstroke",0.8,0.85
"Male","Vietnam","ihd",0.85,0.9
"Male","Vietnam","istroke",0.85,0.75
"Female","Yemen","hhd",0.85,0.9
"Female","Yemen","hstroke",0.8,0.9
"Female","Yemen","ihd",0.8,0.9
"Female","Yemen","istroke",0.8,0.8
"Male","Yemen","hhd",0.85,0.85
"Male","Yemen","hstroke",0.8,0.85
"Male","Yemen","ihd",0.8,0.9
"Male","Yemen","istroke",0.8,0.75
"Female","Zambia","hhd",0.9,0.9
"Female","Zambia","hstroke",0.9,0.95
"Female","Zambia","ihd",0.9,0.8
"Female","Zambia","istroke",0.95,0.85
"Male","Zambia","hhd",0.95,0.9
"Male","Zambia","hstroke",0.95,0.95
"Male","Zambia","ihd",0.95,0.75
"Male","Zambia","istroke",0.95,0.7
"Female","Zimbabwe","hhd",0.9,0.95
"Female","Zimbabwe","hstroke",0.85,0.9
"Female","Zimbabwe","ihd",0.9,0.9
"Female","Zimbabwe","istroke",0.9,0.9
"Male","Zimbabwe","hhd",0.85,0.85
"Male","Zimbabwe","hstroke",0.8,0.9
"Male","Zimbabwe","ihd",0.95,0.95
"Male","Zimbabwe","istroke",0.85,0.8
