"sex","location","cause","IRadjust","CFadjust"
"Female","Burkina Faso","ihd",0.85,0.85
"Female","Burkina Faso","istroke",0.9,0.8
"Male","Burkina Faso","hhd",0.9,0.95
"Male","Burkina Faso","hstroke",0.9,0.9
"Male","Burkina Faso","ihd",0.9,0.85
"Male","Burkina Faso","istroke",0.95,0.8
"Female","Burundi","hhd",0.85,0.9
"Female","Burundi","hstroke",0.8,0.9
"Female","Burundi","ihd",0.85,0.9
"Female","Burundi","istroke",0.85,0.95
"Male","Burundi","hhd",1,1
"Male","Burundi","hstroke",0.9,0.95
"Male","Burundi","ihd",1,1
"Male","Burundi","istroke",0.95,0.7
"Female","Cambodia","hhd",0.95,0.95
"Female","Cambodia","hstroke",0.85,0.95
"Female","Cambodia","ihd",0.9,0.9
"Female","Cambodia","istroke",0.9,0.8
"Male","Cambodia","hhd",0.95,0.85
"Male","Cambodia","hstroke",0.85,0.9
"Male","Cambodia","ihd",0.95,0.95
"Male","Cambodia","istroke",0.95,0.85
"Female","Cameroon","hhd",0.9,0.85
"Female","Cameroon","hstroke",0.8,0.85
"Female","Cameroon","ihd",0.85,0.85
"Female","Cameroon","istroke",0.9,0.8
"Male","Cameroon","hhd",0.95,0.85
"Male","Cameroon","hstroke",0.85,0.85
"Male","Cameroon","ihd",0.9,0.85
"Male","Cameroon","istroke",0.9,0.75
"Female","Canada","hhd",0.9,0.95
"Female","Canada","hstroke",0.85,0.85
"Female","Canada","ihd",0.85,0.8
"Female","Canada","istroke",0.9,0.8
"Male","Canada","hhd",0.9,0.95
"Male","Canada","hstroke",0.85,0.8
"Male","Canada","ihd",0.85,0.8
"Male","Canada","istroke",0.9,0.7
"Female","Cape Verde","hhd",0.9,0.95
"Female","Cape Verde","hstroke",0.75,0.95
"Female","Cape Verde","ihd",0.85,0.9
"Female","Cape Verde","istroke",0.7,0.95
"Male","Cape Verde","hhd",0.85,0.95
"Male","Cape Verde","hstroke",0.75,0.95
"Male","Cape Verde","ihd",0.85,0.95
"Male","Cape Verde","istroke",0.7,0.95
"Female","Central African Republic","hhd",0.85,0.95
"Female","Central African Republic","hstroke",0.85,0.9
"Female","Central African Republic","ihd",0.9,0.95
"Female","Central African Republic","istroke",0.9,0.9
"Male","Central African Republic","hhd",0.8,0.9
"Male","Central African Republic","hstroke",0.8,0.85
"Male","Central African Republic","ihd",0.85,0.95
"Male","Central African Republic","istroke",0.85,0.85
"Female","Chad","hhd",0.8,0.9
"Female","Chad","hstroke",0.8,0.9
"Female","Chad","ihd",0.8,0.9
"Female","Chad","istroke",0.8,0.9
"Male","Chad","hhd",0.95,0.9
"Male","Chad","hstroke",0.85,0.85
"Male","Chad","ihd",0.95,0.85
"Male","Chad","istroke",0.95,0.75
"Female","Chile","hhd",0.85,0.85
"Female","Chile","hstroke",0.8,0.8
"Female","Chile","ihd",0.8,0.75
"Female","Chile","istroke",0.8,0.7
"Male","Chile","hhd",0.9,0.95
"Male","Chile","hstroke",0.8,0.85
"Male","Chile","ihd",0.85,0.85
"Male","Chile","istroke",0.8,0.8
"Female","China","hhd",0.85,0.85
"Female","China","hstroke",0.7,0.9
"Female","China","ihd",0.8,0.8
"Female","China","istroke",0.85,0.7
"Male","China","hhd",0.85,0.85
"Male","China","hstroke",0.7,0.85
"Male","China","ihd",0.75,0.75
"Male","China","istroke",0.85,0.7
"Female","Colombia","hhd",0.85,0.9
"Female","Colombia","hstroke",0.75,0.8
"Female","Colombia","ihd",0.8,0.85
"Female","Colombia","istroke",0.85,0.85
"Male","Colombia","hhd",0.85,0.85
"Male","Colombia","hstroke",0.7,0.8
"Male","Colombia","ihd",0.75,0.8
"Male","Colombia","istroke",0.8,0.85
"Female","Comoros","hhd",1,1
"Female","Comoros","hstroke",0.85,0.95
"Female","Comoros","ihd",1,1
"Female","Comoros","istroke",1,1
"Male","Comoros","hhd",0.95,0.9
"Male","Comoros","hstroke",0.85,0.95
"Male","Comoros","ihd",0.95,0.95
"Male","Comoros","istroke",0.95,0.9
"Female","Congo","hhd",0.85,0.9
"Female","Congo","hstroke",0.85,0.85
"Female","Congo","ihd",0.85,0.85
"Female","Congo","istroke",0.9,0.8
"Male","Congo","hhd",0.9,0.95
"Male","Congo","hstroke",0.9,0.9
"Male","Congo","ihd",0.9,0.9
"Male","Congo","istroke",0.95,0.85
"Female","Costa Rica","hhd",0.85,0.85
"Female","Costa Rica","hstroke",0.9,0.85
"Female","Costa Rica","ihd",0.85,0.85
"Female","Costa Rica","istroke",0.95,0.95
"Male","Costa Rica","hhd",0.85,0.85
"Male","Costa Rica","hstroke",0.85,0.85
"Male","Costa Rica","ihd",0.85,0.95
"Male","Costa Rica","istroke",0.9,0.9
"Female","Cote d'Ivoire","hhd",0.8,0.95
"Female","Cote d'Ivoire","hstroke",0.7,0.85
"Female","Cote d'Ivoire","ihd",0.75,0.9
"Female","Cote d'Ivoire","istroke",0.7,0.85
"Male","Cote d'Ivoire","hhd",0.85,0.9
"Male","Cote d'Ivoire","hstroke",0.75,0.85
"Male","Cote d'Ivoire","ihd",0.8,0.85
"Male","Cote d'Ivoire","istroke",0.8,0.8
"Female","Croatia","hhd",0.75,0.75
"Female","Croatia","hstroke",0.7,0.85
"Female","Croatia","ihd",0.7,0.7
"Female","Croatia","istroke",0.7,0.7
"Male","Croatia","hhd",0.8,0.8
"Male","Croatia","hstroke",0.7,0.8
"Male","Croatia","ihd",0.75,0.75
"Male","Croatia","istroke",0.7,0.7
"Female","Cuba","hhd",0.9,0.95
"Female","Cuba","hstroke",0.8,0.85
"Female","Cuba","ihd",0.85,0.85
"Female","Cuba","istroke",0.85,0.85
"Male","Cuba","hhd",0.9,0.95
"Male","Cuba","hstroke",0.8,0.85
"Male","Cuba","ihd",0.85,0.95
"Male","Cuba","istroke",0.85,0.85
"Female","Cyprus","hhd",0.7,0.7
"Female","Cyprus","hstroke",0.8,0.7
"Female","Cyprus","ihd",0.8,0.7
"Female","Cyprus","istroke",0.8,0.7
"Male","Cyprus","hhd",0.75,0.7
"Male","Cyprus","hstroke",0.75,0.7
"Male","Cyprus","ihd",0.85,0.7
"Male","Cyprus","istroke",0.8,0.7
"Female","Czech Republic","hhd",0.95,0.95
"Female","Czech Republic","hstroke",0.8,0.8
"Female","Czech Republic","ihd",0.75,0.75
"Female","Czech Republic","istroke",0.75,0.7
"Male","Czech Republic","hhd",0.95,0.95
"Male","Czech Republic","hstroke",0.75,0.75
"Male","Czech Republic","ihd",0.75,0.75
"Male","Czech Republic","istroke",0.75,0.7
"Female","Democratic Republic of the Congo","hhd",0.85,0.95
"Female","Democratic Republic of the Congo","hstroke",0.8,0.9
"Female","Democratic Republic of the Congo","ihd",0.85,0.9
"Female","Democratic Republic of the Congo","istroke",0.85,0.8
"Male","Democratic Republic of the Congo","hhd",0.8,0.9
"Male","Democratic Republic of the Congo","hstroke",0.8,0.85
"Male","Democratic Republic of the Congo","ihd",0.85,0.9
"Male","Democratic Republic of the Congo","istroke",0.85,0.8
"Female","Denmark","hhd",0.9,0.95
"Female","Denmark","hstroke",0.75,0.85
"Female","Denmark","ihd",0.8,0.8
"Female","Denmark","istroke",0.8,0.85
"Male","Denmark","hhd",0.75,0.85
"Male","Denmark","hstroke",0.75,0.85
"Male","Denmark","ihd",0.8,0.7
"Male","Denmark","istroke",0.7,0.75
"Female","Djibouti","hhd",0.85,0.9
"Female","Djibouti","hstroke",0.85,0.8
"Female","Djibouti","ihd",0.9,0.95
"Female","Djibouti","istroke",0.95,0.85
"Male","Djibouti","hhd",0.9,0.9
"Male","Djibouti","hstroke",0.9,0.85
"Male","Djibouti","ihd",0.9,0.9
"Male","Djibouti","istroke",0.95,0.8
"Female","Dominican Republic","hhd",0.85,0.95
"Female","Dominican Republic","hstroke",0.85,0.9
"Female","Dominican Republic","ihd",0.8,0.9
"Female","Dominican Republic","istroke",0.85,0.85
"Male","Dominican Republic","hhd",0.85,0.95
"Male","Dominican Republic","hstroke",0.9,0.95
"Male","Dominican Republic","ihd",0.8,0.95
"Male","Dominican Republic","istroke",0.85,0.85
"Female","Ecuador","hhd",0.75,0.75
"Female","Ecuador","hstroke",0.85,0.8
"Female","Ecuador","ihd",0.8,0.8
"Female","Ecuador","istroke",0.85,0.7
"Male","Ecuador","hhd",0.8,0.75
"Male","Ecuador","hstroke",0.85,0.85
"Male","Ecuador","ihd",0.85,0.85
"Male","Ecuador","istroke",0.85,0.75
"Female","Egypt","hhd",0.8,0.85
"Female","Egypt","hstroke",0.8,0.9
"Female","Egypt","ihd",0.75,0.9
"Female","Egypt","istroke",0.8,0.8
"Male","Egypt","hhd",1,1
"Male","Egypt","hstroke",0.9,0.95
"Male","Egypt","ihd",0.9,0.95
"Male","Egypt","istroke",0.95,0.9
"Female","El Salvador","hhd",0.95,0.95
"Female","El Salvador","hstroke",0.9,0.95
"Female","El Salvador","ihd",0.9,0.95
"Female","El Salvador","istroke",0.9,0.95
"Male","El Salvador","hhd",0.95,0.9
"Male","El Salvador","hstroke",0.85,0.9
"Male","El Salvador","ihd",0.85,0.9
"Male","El Salvador","istroke",0.9,0.9
"Female","Equatorial Guinea","hhd",0.85,0.9
"Female","Equatorial Guinea","hstroke",0.85,0.85
"Female","Equatorial Guinea","ihd",0.9,0.9
"Female","Equatorial Guinea","istroke",0.95,0.9
"Male","Equatorial Guinea","hhd",0.85,0.9
"Male","Equatorial Guinea","hstroke",0.9,0.9
"Male","Equatorial Guinea","ihd",0.9,0.95
"Male","Equatorial Guinea","istroke",0.9,0.8
"Female","Eritrea","hhd",0.9,0.95
"Female","Eritrea","hstroke",0.9,0.95
"Female","Eritrea","ihd",0.95,0.95
"Female","Eritrea","istroke",1,1
"Male","Eritrea","hhd",1,1
"Male","Eritrea","hstroke",1,1
"Male","Eritrea","ihd",1,1
"Male","Eritrea","istroke",1,1
"Female","Estonia","hhd",0.9,0.95
"Female","Estonia","hstroke",0.7,0.7
"Female","Estonia","ihd",0.7,0.7
"Female","Estonia","istroke",0.7,0.7
"Male","Estonia","hhd",0.85,0.95
"Male","Estonia","hstroke",0.7,0.85
"Male","Estonia","ihd",0.7,0.7
"Male","Estonia","istroke",0.7,0.7
"Female","Ethiopia","hhd",0.8,0.85
"Female","Ethiopia","hstroke",0.75,0.95
"Female","Ethiopia","ihd",0.85,0.9
"Female","Ethiopia","istroke",0.8,0.9
"Male","Ethiopia","hhd",0.85,0.85
"Male","Ethiopia","hstroke",0.75,0.9
"Male","Ethiopia","ihd",0.9,0.9
"Male","Ethiopia","istroke",0.85,0.85
"Female","Federated States of Micronesia","hhd",0.8,0.95
"Female","Federated States of Micronesia","hstroke",0.75,0.9
"Female","Federated States of Micronesia","ihd",0.75,0.9
"Female","Federated States of Micronesia","istroke",0.75,0.9
"Male","Federated States of Micronesia","hhd",0.8,0.95
"Male","Federated States of Micronesia","hstroke",0.75,0.85
"Male","Federated States of Micronesia","ihd",0.75,0.95
"Male","Federated States of Micronesia","istroke",0.75,0.85
"Female","Fiji","hhd",0.8,0.9
"Female","Fiji","hstroke",0.7,0.85
"Female","Fiji","ihd",0.75,0.9
"Female","Fiji","istroke",0.75,0.85
"Male","Fiji","hhd",0.75,0.9
"Male","Fiji","hstroke",0.75,0.85
"Male","Fiji","ihd",0.7,0.9
"Male","Fiji","istroke",0.75,0.85
"Female","Finland","hhd",0.9,0.95
"Female","Finland","hstroke",0.75,0.9
"Female","Finland","ihd",0.8,0.75
"Female","Finland","istroke",0.8,0.8
"Male","Finland","hhd",0.9,0.9
"Male","Finland","hstroke",0.8,0.9
"Male","Finland","ihd",0.8,0.8
"Male","Finland","istroke",0.75,0.8
"Female","France","hhd",0.85,0.9
"Female","France","hstroke",0.75,0.8
"Female","France","ihd",0.85,0.75
"Female","France","istroke",0.8,0.75
"Male","France","hhd",0.8,0.8
"Male","France","hstroke",0.75,0.8
"Male","France","ihd",0.8,0.7
"Male","France","istroke",0.75,0.7
"Female","Gabon","hhd",0.8,0.85
"Female","Gabon","hstroke",0.8,0.85
"Female","Gabon","ihd",0.8,0.8
"Female","Gabon","istroke",0.85,0.85
"Male","Gabon","hhd",0.8,0.9
"Male","Gabon","hstroke",0.8,0.85
"Male","Gabon","ihd",0.8,0.9
"Male","Gabon","istroke",0.8,0.8
"Female","Georgia","hhd",0.9,0.95
"Female","Georgia","hstroke",0.7,0.9
"Female","Georgia","ihd",0.8,0.85
"Female","Georgia","istroke",0.85,0.9
"Male","Georgia","hhd",0.85,0.95
"Male","Georgia","hstroke",0.7,0.9
"Male","Georgia","ihd",0.75,0.85
"Male","Georgia","istroke",0.85,0.9
"Female","Germany","hhd",0.85,0.85
"Female","Germany","hstroke",0.8,0.8
"Female","Germany","ihd",0.8,0.75
"Female","Germany","istroke",0.8,0.75
"Male","Germany","hhd",0.8,0.8
"Male","Germany","hstroke",0.75,0.8
"Male","Germany","ihd",0.75,0.7
"Male","Germany","istroke",0.75,0.75
"Female","Ghana","hhd",0.85,0.9
"Female","Ghana","hstroke",0.85,0.9
"Female","Ghana","ihd",0.85,0.9
"Female","Ghana","istroke",0.9,0.85
"Male","Ghana","hhd",0.85,0.9
"Male","Ghana","hstroke",0.8,0.85
"Male","Ghana","ihd",0.85,0.85
"Male","Ghana","istroke",0.8,0.75
"Female","Greece","hhd",0.85,0.85
"Female","Greece","hstroke",0.7,0.85
"Female","Greece","ihd",0.75,0.7
"Female","Greece","istroke",0.7,0.75
"Male","Greece","hhd",0.9,0.9
"Male","Greece","hstroke",0.75,0.9
"Male","Greece","ihd",0.8,0.8
"Male","Greece","istroke",0.75,0.75
"Female","Grenada","hhd",0.7,0.95
"Female","Grenada","hstroke",0.7,0.85
"Female","Grenada","ihd",0.7,0.95
"Female","Grenada","istroke",0.7,0.95
"Male","Grenada","hhd",0.7,0.95
"Male","Grenada","hstroke",0.7,0.85
"Male","Grenada","ihd",0.7,0.95
"Male","Grenada","istroke",0.7,0.95
"Female","Guatemala","hhd",0.85,0.8
"Female","Guatemala","hstroke",0.9,0.85
"Female","Guatemala","ihd",0.8,0.7
"Female","Guatemala","istroke",0.95,0.7
"Male","Guatemala","hhd",0.9,0.8
"Male","Guatemala","hstroke",0.85,0.85
"Male","Guatemala","ihd",0.8,0.7
"Male","Guatemala","istroke",0.9,0.7
"Female","Guinea","hhd",0.8,0.9
"Female","Guinea","hstroke",0.8,0.9
"Female","Guinea","ihd",0.8,0.9
"Female","Guinea","istroke",0.75,0.75
"Male","Guinea","hhd",0.9,0.9
"Male","Guinea","hstroke",0.85,0.85
"Male","Guinea","ihd",0.9,0.9
"Male","Guinea","istroke",0.85,0.75
"Female","Guinea-Bissau","hhd",0.85,0.95
"Female","Guinea-Bissau","hstroke",0.75,0.85
"Female","Guinea-Bissau","ihd",0.8,0.9
"Female","Guinea-Bissau","istroke",0.8,0.9
"Male","Guinea-Bissau","hhd",0.85,0.9
"Male","Guinea-Bissau","hstroke",0.8,0.9
"Male","Guinea-Bissau","ihd",0.8,0.85
"Male","Guinea-Bissau","istroke",0.85,0.85
"Female","Guyana","hhd",0.8,0.9
"Female","Guyana","hstroke",0.75,0.9
"Female","Guyana","ihd",0.75,0.85
"Female","Guyana","istroke",0.7,0.8
"Male","Guyana","hhd",0.85,0.95
"Male","Guyana","hstroke",0.8,0.95
"Male","Guyana","ihd",0.75,0.9
"Male","Guyana","istroke",0.75,0.8
"Female","Haiti","hhd",0.85,0.9
"Female","Haiti","hstroke",0.85,0.9
"Female","Haiti","ihd",0.85,0.9
"Female","Haiti","istroke",0.9,0.8
"Male","Haiti","hhd",0.9,0.95
"Male","Haiti","hstroke",0.85,0.9
"Male","Haiti","ihd",0.85,0.9
"Male","Haiti","istroke",0.85,0.8
"Female","Honduras","hhd",0.95,0.9
"Female","Honduras","hstroke",0.9,0.9
"Female","Honduras","ihd",0.9,0.85
"Female","Honduras","istroke",0.95,0.8
"Male","Honduras","hhd",0.95,0.8
"Male","Honduras","hstroke",0.9,0.95
"Male","Honduras","ihd",0.95,0.9
"Male","Honduras","istroke",0.95,0.9
"Female","Hungary","hhd",0.9,0.95
"Female","Hungary","hstroke",0.75,0.8
"Female","Hungary","ihd",0.7,0.75
"Female","Hungary","istroke",0.8,0.75
"Male","Hungary","hhd",0.9,0.95
"Male","Hungary","hstroke",0.75,0.85
"Male","Hungary","ihd",0.75,0.8
"Male","Hungary","istroke",0.8,0.75
"Female","Iceland","hhd",0.95,0.9
